id,text
1,OMG I LOOOOVED this movie!!! Best ever 
2,Worst product I have ever bought... waste of money!!
3,"It was okay, not bad but not great either."
4,Customer service was SUPER helpful & friendly :)
5,I'm sooo disappointed... broke in 2 days :(
6,Delivery was late but packaging was good.
7,"Absolutely fantastic experience, will come again!!!"
8,"Terrible food, cold and tasteless "
9,meh... it works I guess
10,"This app is AMAZING, love the new update!!!"
11,"Horrible support, nobody replied to my emails."
12,"Nothing special, average quality."
13,WOW just wow!! exceeded my expectations 
14,Do NOT buy this. Cheap quality & useless.
15,"Service was fine, could be better though."
16,I am extremely happy with this purchase!
17,It stopped working after 1 week... trash!
18,The design looks cool but performance is slow.
19,Brilliant! Five stars 
20,"Completely useless, very frustrating experience."
21,Not sure how I feel about this tbh.
22,Loved it!!! Will recommend to everyone.
23,"Bad build quality, feels very cheap."
24,"It's alright, does the job."
25,"Best decision ever, totally worth it!"
26,Regret buying this... big mistake.
27,The color is nice but that's about it.
28,"Super smooth performance, impressed!"
29,"Awful experience, never again!!!"
30,"It's fine, nothing to complain about."
31,ugh the UI is confusing af
32,lol this actually surprised me
33,battery dies soooo fast smh
34,pretty decent for the price tbh
35,BRO THIS IS FIRE 
36,idk man it feels weird
37,worked once then just stopped???
38,customer care ghosted me lmao
39,setup was easy peasy
40,keeps crashing after update wtf
