id,text,sentiment
1,"I absolutely loved this movie, it was fantastic!",positive
2,The food was cold and tasted terrible,negative
3,"It was an okay experience, nothing special",neutral
4,Customer service was very helpful and polite,positive
5,I am extremely disappointed with this product,negative
6,The delivery was fast and packaging was perfect,positive
7,This is the worst app I have ever used,negative
8,The design looks nice but performance is average,neutral
9,I feel happy using this service,positive
10,Not worth the money at all,negative
11,The event was well organized and fun,positive
12,I am not satisfied with the quality,negative
13,It works fine for basic tasks,neutral
14,The support team solved my issue quickly,positive
15,The experience was frustrating and confusing,negative
16,"Nothing great, nothing bad, just normal",neutral
17,Absolutely amazing performance!,positive
18,I regret buying this item,negative
19,The interface is simple and easy to use,positive
20,It’s just average,neutral
21,Very poor customer support response,negative
22,I really enjoyed the workshop,positive
23,The product is okay for the price,neutral
24,Superb quality and great value,positive
25,This was a complete waste of time,negative
26,The features are useful but need improvement,neutral
27,I am impressed with the service,positive
28,"The system keeps crashing, very annoying",negative
29,It does what it is supposed to do,neutral
30,Best purchase I have made this year,positive
31,Totally dissatisfied with the experience,negative
32,The hotel room was clean and comfortable,positive
33,Nothing impressive about it,neutral
34,The update made the app much better,positive
35,I hate the new design,negative
36,"It’s fine, not too good not too bad",neutral
37,Excellent customer care service,positive
38,The instructions were unclear and confusing,negative
39,Average performance overall,neutral
40,I would highly recommend this to others,positive
41,Very bad quality material used,negative
42,The class was informative and engaging,positive
43,It’s just okay,neutral
44,The battery drains too fast,negative
45,Really happy with my purchase,positive
46,Service was slow and unprofessional,negative
47,Nothing to complain about,neutral
48,The experience exceeded my expectations,positive
49,I am unhappy with the results,negative
50,Decent product for everyday use,neutral
